16141;1;Teste Risco Negativo Gp;84817143304;12/07/1946;F;64011400;91253698579;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;13;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16142;1;Teste Risco Negativo Hq;84817143304;12/07/1947;M;64011400;91253698580;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;1;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16143;1;Teste Risco Negativo Ir;84817143304;12/07/1948;F;64011400;91253698581;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;2;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16144;1;Teste Risco Negativo Js;84817143304;12/07/1949;M;64011400;91253698582;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;3;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16145;1;Teste Risco Negativo Kt;84817143304;12/07/1950;F;64011400;91253698583;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;4;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16146;1;Teste Risco Negativo Lu;84817143304;12/07/1951;M;64011400;91253698584;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;5;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16147;0;Teste Risco Negativo Mv;84817143304;12/07/1952;F;64011400;91253698585;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;6;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16148;0;Teste Risco Negativo Nx;84817143304;12/07/1950;M;64011400;91253698586;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;7;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16149;0;Teste Risco Negativo Oz;84817143304;12/07/1942;F;64011400;91253698587;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;8;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16150;0;Teste Risco Negativo Pw;84817143304;12/07/1939;M;64011400;91253698588;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;9;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16151;0;Teste Risco Negativo Qy;84817143304;12/07/1945;F;64011400;91253698589;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;10;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
16152;0;Teste Risco Negativo Rq;84817143304;12/07/1920;M;64011400;91253698590;teste@teste.com.br;teste@teste.com.br;Nao;Nao;Nao;Nao;Nao;Nao;11;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;assistenciaref6@gmail.com;1234;Covid-19 Indicativo Negativo
